question,party_name,comment_text
"Unia Europejska powinna mieć mniejszy wpływ na polską politykę
wewnętrzną.",KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,"Nie uważamy, by instytucje unijne potrzebowały dziś większego wpływu na wydarzenia w Polsce niż zapewniają to unijne traktaty. Zadaniem rządzących w Polsce jest to, by zapisy Traktatów były w Polsce przestrzegane, a nasz rząd wywiązywał się ze zobowiązań, co obecnie nie ma miejsca choćby w obszarze rządów prawa. Zauważamy też, że w ostatnich latach zdarzały się przypadki, w których to unijne instytucje niepotrzebnie próbowały angażować się w kwestie podlegające wewnętrznej kompetencji polskiego rządu. Przykładem takich ingerencji są niektóre rezolucje PE."
"Należy zwiększyć transfery społeczne, by ograniczyć skutki inflacji dla
obywateli.",KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,"Mądre państwo nie jest od tego, żeby rozdawać pieniądze wszystkim po równo, ale od tego, by pomagać tym, którzy tej pomocy potrzebują. Trzecia Droga konsekwentnie odmawia uczestnictwa w przedwyborczej licytacji na rozdawnictwo, zamiast tego nasz program skupia się na inwestycjach w naszą przyszłość."
"Państwo powinno finansować prywatne wizyty u lekarzy specjalistów,
jeśli czas oczekiwania w publicznej placówce przekracza trzy miesiące.",KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,Jeśli przez 60 dni pacjent nie może dostać się do lekarza specjalisty jego wizyta prywatna powinna być zrefundowana przez NFZ.
"Państwo powinno zapewnić bezpłatne miejsce w żłobku dla każdego
dziecka.",KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,"Jest to jeden z głównych postulatów programowych Trzeciej Drogi. Państwo powinno zainwestować w budowę 100 tysięcy miejsc w publicznych, bezpłatnych żłobkach, tak by  rodzice mieli wolność wyboru: czy wolą zostać w domu i opiekować się dzieckiem, czy wrócić do pracy i rozwijać swoje kariery."
"Szkoły powinny mieć większą swobodę w doborze treści poruszanych
w programie nauczania.",KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,"Szkoły powinny być wolne od polityki, rodzice i społeczności szkolne powinny mieć większy wpływ na treści poruszane w programie, a finansowanie edukacji należy zwiększyć do 6% PKB. Bo to ani lewicowe, ani prawicowe - to po prostu inwestycja w przyszłość naszych dzieci."
Państwo powinno budować mieszkania niskoczynszowe na wynajem.,KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,"Jednak sama budowa takich mieszkań nie rozwiąże problemu. Nowy rząd musi rynkowo zwiększyć podaż mieszkać. Więcej mieszkań, to ich niższa cena i większa dostępność dla polskich rodzin. Zwiększymy liczbę budowanych mieszkań dzięki uwolnieniu obrotu ziemią w granicach miast i ułatwieniom regulacyjnym."
Należy podwyższyć podatki dla najlepiej zarabiających osób.,KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,"Jesteśmy zdania iż po pandemii która doprowadziła do kryzysu gospodarczego nie należy przez okres co najmniej 4 lat podwyższać podatków ani wprowadzać nowych. Należy raczej szukać oszczędności w racjonalizowaniu wydatków budżetowych, np. poprzez odejście od finansowania megalomańskich projektów takich jak CPK czy finansowania z budżetu upartyjnionych obecnie mediów publicznych."
"Należy wprowadzić możliwość przejścia na wcześniejszą emeryturę
dla osób, które przepracowały określoną liczbę lat, niezależnie od ich wieku.",KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,Komitet nie udzielił komentarza.
Należy zliberalizować prawo aborcyjne.,KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,"Musimy  natychmiast odpowiednią ustawą zapewnić bezpieczeństwo polskim kobietom, dlatego od razu po wyborach nowy Sejm musi przegłosować ustawę przywracającą kompromis aborcyjny. Kwestię dalszej liberalizacji należy rozstrzygnąć w referendum. Nie ma żadnego powodu, by w tej sprawie prawo głosu miał Sejm, w którym większość stanowią mężczyźni, a nie społeczeństwo, w którym większość to kobiety."
"Wszyscy przedsiębiorcy powinni płacić składkę zdrowotną tej samej
wysokości niezależnie od dochodu.",KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,Jesteśmy za przywróceniem możliwości odliczenia składki zdrowotnej od podstawy opodatkowania jak to miało miejsce przed 2022 r.
